sampleid	-	Tanks	Diet
01Ga	-	T01	D1
01Gb	-	T01	D1
01Gc	-	T01	D1
02Ga	-	T02	D2
02Gb	-	T02	D2
02Gc	-	T02	D2
03Ga	-	T03	D3
03Gb	-	T03	D3
03Gc	-	T03	D3
04Ga	-	T04	D4
04Gb	-	T04	D4
04Gc	-	T04	D4
05Ga	-	T05	D1
05Gb	-	T05	D1
05Gc	-	T05	D1
06Ga	-	T06	D2
06Gb	-	T06	D2
06Gc	-	T06	D2
07Ga	-	T07	D3
07Gb	-	T07	D3
07Gc	-	T07	D3
08Ga	-	T08	D4
08Gb	-	T08	D4
08Gc	-	T08	D4
09Ga	-	T09	D3
09Gb	-	T09	D3
09Gc	-	T09	D3
10Ga	-	T10	D1
10Gb	-	T10	D1
10Gc	-	T10	D1
11Ga	-	T11	D1
11Gb	-	T11	D1
11Gc	-	T11	D1
12Ga	-	T12	D2
12Gb	-	T12	D2
12Gc	-	T12	D2
13Ga	-	T13	D3
13Gb	-	T13	D3
13Gc	-	T13	D3
14Ga	-	T14	D2
14Gb	-	T14	D2
14Gc	-	T14	D2
15Ga	-	T15	D4
15Gb	-	T15	D4
15Gc	-	T15	D4
16Ga	-	T16	D4
16Gb	-	T16	D4
16Gc	-	T16	D4
